GameID,Season,SeasonType,Date,Status,Team,TeamID,Opponent,OpponentID,Venue,Time,Time_IST,HomeTeam,AwayTeam
20240608OEIPCC,2024,POFF,2024-06-08,Finished,OEI,4929,PCC,6021,Estádio Municipal de Miranda do Corvo,19:00:00,00:30:00,OEI,PCC
20240607PCCLCA,2024,POFF,2024-06-07,Finished,PCC,6021,LCA,7076,Estádio Municipal de Miranda do Corvo,16:15:00,21:45:00,PCC,LCA
20240607PCCLSG,2024,POFF,2024-06-07,Finished,PCC,6021,LSG,8445,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,PCC,LSG
20240606PCCOEI,2024,POFF,2024-06-06,Finished,PCC,6021,OEI,4929,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,PCC,OEI
20240606FIGPCC,2024,POFF,2024-06-06,Finished,FIG,4931,PCC,6021,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,FIG,PCC
20240605FIGLSG,2024,POFF,2024-06-05,Finished,FIG,4931,LSG,8445,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,FIG,LSG
20240605OEILCA,2024,POFF,2024-06-05,Finished,OEI,4929,LCA,7076,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,OEI,LCA
20240604PCCLCA,2024,POFF,2024-06-04,Finished,PCC,6021,LCA,7076,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,PCC,LCA
20240604LCAFIG,2024,POFF,2024-06-04,Finished,LCA,7076,FIG,4931,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,LCA,FIG
20240603LCALSG,2024,POFF,2024-06-03,Finished,LCA,7076,LSG,8445,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,LCA,LSG
20240603OEIFIG,2024,POFF,2024-06-03,Finished,OEI,4929,FIG,4931,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,OEI,FIG
20240602OEILSG,2024,POFF,2024-06-02,Finished,OEI,4929,LSG,8445,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,OEI,LSG
20240602CKOCC,2024,DRR,2024-06-02,Finished,CK,1977,OCC,2000,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,CK,OCC
20240601CKOCC,2024,DRR,2024-06-01,Finished,CK,1977,OCC,2000,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,CK,OCC
20240601FIGOCC,2024,DRR,2024-06-01,Finished,FIG,4931,OCC,2000,Estádio Municipal de Miranda do Corvo,14:15:00,19:45:00,FIG,OCC
20240601FIGOCC,2024,DRR,2024-06-01,Finished,FIG,4931,OCC,2000,Estádio Municipal de Miranda do Corvo,12:15:00,17:45:00,FIG,OCC
20240601RGCOEI,2024,DRR,2024-06-01,Finished,RGC,9925,OEI,4929,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,RGC,OEI
20240531RGCOEI,2024,DRR,2024-05-31,Finished,RGC,9925,OEI,4929,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,RGC,OEI
20240531CKOEI,2024,DRR,2024-05-31,Finished,CK,1977,OEI,4929,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,CK,OEI
20240530CKOEI,2024,DRR,2024-05-30,Finished,CK,1977,OEI,4929,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,CK,OEI
20240530RGCFIG,2024,DRR,2024-05-30,Finished,RGC,9925,FIG,4931,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,RGC,FIG
20240529RGCFIG,2024,DRR,2024-05-29,Finished,RGC,9925,FIG,4931,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,RGC,FIG
20240529OEIOCC,2024,DRR,2024-05-29,Finished,OEI,4929,OCC,2000,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,OEI,OCC
20240528OEIOCC,2024,DRR,2024-05-28,Finished,OEI,4929,OCC,2000,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,OEI,OCC
20240528CKFIG,2024,DRR,2024-05-28,Finished,CK,1977,FIG,4931,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,CK,FIG
20240527CKFIG,2024,DRR,2024-05-27,Finished,CK,1977,FIG,4931,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,CK,FIG
20240527RGCOCC,2024,DRR,2024-05-27,Finished,RGC,9925,OCC,2000,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,RGC,OCC
20240526RGCOCC,2024,DRR,2024-05-26,Finished,RGC,9925,OCC,2000,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,RGC,OCC
20240526FIGOEI,2024,DRR,2024-05-26,Finished,FIG,4931,OEI,4929,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,FIG,OEI
20240525FIGOEI,2024,DRR,2024-05-25,Finished,FIG,4931,OEI,4929,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,FIG,OEI
20240525RGCCK,2024,DRR,2024-05-25,Finished,RGC,9925,CK,1977,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,RGC,CK
20240524RGCCK,2024,DRR,2024-05-24,Finished,RGC,9925,CK,1977,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,RGC,CK
20240524LCAMd,2024,DRR,2024-05-24,Finished,LCA,7076,Md,2001,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,LCA,Md
20240523LCAMd,2024,DRR,2024-05-23,Finished,LCA,7076,Md,2001,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,LCA,Md
20240523PCCLWW,2024,DRR,2024-05-23,Finished,PCC,6021,LWW,9826,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,PCC,LWW
20240522PCCLWW,2024,DRR,2024-05-22,Finished,PCC,6021,LWW,9826,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,PCC,LWW
20240522LSGMd,2024,DRR,2024-05-22,Finished,LSG,8445,Md,2001,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,LSG,Md
20240521LSGMd,2024,DRR,2024-05-21,Finished,LSG,8445,Md,2001,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,LSG,Md
20240521LCALWW,2024,DRR,2024-05-21,Finished,LCA,7076,LWW,9826,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,LCA,LWW
20240520LCALWW,2024,DRR,2024-05-20,Finished,LCA,7076,LWW,9826,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,LCA,LWW
20240520PCCLSG,2024,DRR,2024-05-20,Finished,PCC,6021,LSG,8445,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,PCC,LSG
20240519PCCLSG,2024,DRR,2024-05-19,Finished,PCC,6021,LSG,8445,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,PCC,LSG
20240519LWWMd,2024,DRR,2024-05-19,Finished,LWW,9826,Md,2001,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,LWW,Md
20240518LWWMd,2024,DRR,2024-05-18,Finished,LWW,9826,Md,2001,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,LWW,Md
20240518LCALSG,2024,DRR,2024-05-18,Finished,LCA,7076,LSG,8445,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,LCA,LSG
20240517LCALSG,2024,DRR,2024-05-17,Finished,LCA,7076,LSG,8445,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,LCA,LSG
20240517PCCMd,2024,DRR,2024-05-17,Finished,PCC,6021,Md,2001,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,PCC,Md
20240516PCCMd,2024,DRR,2024-05-16,Finished,PCC,6021,Md,2001,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,PCC,Md
20240516LSGLWW,2024,DRR,2024-05-16,Finished,LSG,8445,LWW,9826,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,LSG,LWW
20240515LSGLWW,2024,DRR,2024-05-15,Finished,LSG,8445,LWW,9826,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,LSG,LWW
20240515PCCLCA,2024,DRR,2024-05-15,Finished,PCC,6021,LCA,7076,Estádio Municipal de Miranda do Corvo,18:45:00,00:15:00,PCC,LCA
20240514PCCLCA,2024,DRR,2024-05-14,Finished,PCC,6021,LCA,7076,Estádio Municipal de Miranda do Corvo,16:30:00,22:00:00,PCC,LCA
