Season,GameType,Date,MatchStatus,Team,TeamID,Opponent,OpponentID,Winner,TeamScore,TeamWKLoss,TeamOversPlayed,OpponentScore,OpponentWKLoss,OpponentOversPlayed,Venue,MOM,IsFirstInning,BattingOrder,HasBatted,PlayerID,PlayerName,Status,RunsScored,BallsPlayed,Minutes,FoursHit,SixesHit,StrikeRate,Over,Maiden,RunsGiven,WKTaken,Econ,DotBalls,FoursGiven,SixesGiven,Wides,NoBall,CaughtBowled,Lbw,Catch,Stumped,DirectRunout,Bowled,IndirectRunout,GameID,Position,FullPosition,PlayingOrder,Format,League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,1,1,1124283,Aaron Hardie,c Sandhu b Rogers,34,34,67,3,0,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,20250107PSMR,AR,{allrounder},1,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,2,1,959759,Finn Allen,c †Seifert b Sutherland,19,12,14,2,1,158.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3,0,0,0,0,20250107PSMR,WK,"{""top-order batter""}",2,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,3,1,272450,Mitchell Marsh,lbw b Sutherland,0,1,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,20250107PSMR,AR,{allrounder},3,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,4,1,1210488,Cooper Connolly,b Rogers,0,2,2,0,0,0,1,0,12,0,12,2,1,1,0,0,0,0,0,0,0,0,0,20250107PSMR,AR,"{""batting allrounder""}",4,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,5,1,500268,Ashton Turner,b Richardson,8,13,15,1,0,61.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,20250107PSMR,BAT,"{""middle-order batter""}",5,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,6,1,779929,Nick Hobson,c †Seifert b Zampa,12,14,14,0,0,85.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,20250107PSMR,BAT,"{""top-order batter""}",6,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,7,1,505120,Ashton Agar,not out,51,30,39,1,4,170,3,0,25,0,8.33,6,0,2,2,0,0,0,0,0,0,0,0,20250107PSMR,AR,{bowler},7,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,8,1,774223,Jhye Richardson,st †Seifert b Zampa,11,7,10,1,1,157.14,4,0,28,2,7,10,2,1,0,0,0,0,0,0,0,0,0,20250107PSMR,BOWL,{bowler},8,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,9,1,638912,Matthew Kelly,b Zampa,0,1,1,0,0,0,3.4,0,38,0,10.36,7,2,2,1,1,0,0,0,0,0,0,0,20250107PSMR,BOWL,{bowler},9,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,10,1,272477,Jason Behrendorff,not out,5,6,11,0,0,83.33,4,1,22,2,5.5,15,4,0,0,0,0,0,1,0,0,0,0,20250107PSMR,BOWL,{bowler},10,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,PS,1,MR,7,MR,147,8,20,150,6,19.4,Perth,0,1,11,0,1125317,Lance Morris,None,NULL,NULL,NULL,NULL,NULL,NULL,4,0,21,2,5.25,14,0,1,0,0,0,0,0,0,0,0,0,20250107PSMR,BOWL,{bowler},11,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,1,1,625964,Tim Seifert,c sub (AJ Tye) b Behrendorff,0,4,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,1,0,0,0,20250107PSMR,WK,"{""wicketkeeper batter""}",1,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,2,1,434813,Marcus Harris,c †Allen b Morris,21,26,43,0,1,80.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,20250107PSMR,BAT,"{""opening batter""}",2,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,3,1,1168049,Jake Fraser-McGurk,c †Allen b Behrendorff,0,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,20250107PSMR,BAT,{batter},3,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,4,1,1194959,Jacob Bethell,c sub (AJ Tye) b Richardson,2,9,13,0,0,22.22,1,0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,20250107PSMR,BAT,"{""batting allrounder""}",4,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,5,1,256956,Laurie Evans,c †Allen b Morris,0,2,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,20250107PSMR,WK,{batter},5,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,6,1,1076722,Will Sutherland,c Behrendorff b Richardson,70,45,61,5,3,155.55,4,0,22,2,5.5,13,2,1,0,0,0,1,0,0,0,0,0,20250107PSMR,AR,{allrounder},6,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,1,0,7,1,627627,Tom Rogers,not out,49,31,47,4,3,158.06,4,0,39,2,9.75,12,3,3,1,0,0,0,0,0,0,1,0,20250107PSMR,BOWL,"{""bowling allrounder""}",7,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,8,1,499660,Gurinder Sandhu,not out,0,1,7,0,0,0,3,0,22,0,7.33,6,2,0,2,0,0,0,1,0,0,0,0,20250107PSMR,BOWL,{bowler},8,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,9,0,233680,Jonathan Wells,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,20250107PSMR,BAT,"{""middle-order batter""}",9,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,10,0,379504,Adam Zampa,None,NULL,NULL,NULL,NULL,NULL,NULL,4,0,27,3,6.75,8,0,1,1,0,0,0,0,0,0,1,0,20250107PSMR,BOWL,{bowler},10,T20,Big Bash League
2024,DRR,2025-01-07,FINISHED,MR,7,PS,1,MR,150,6,19.4,147,8,20,Perth,0,0,11,0,272262,Kane Richardson,None,NULL,NULL,NULL,NULL,NULL,NULL,4,0,28,1,7,7,1,1,0,0,0,0,0,0,0,1,0,20250107PSMR,BOWL,{bowler},11,T20,Big Bash League
