,Season,Date,MatchStatus,Team,TeamID,Opponent,OpponentID,TeamScore,TeamWKLoss,TeamOversPlayed,OpponentScore,OpponentWKLoss,OpponentOversPlayed,Venue,IsFirstInning,BattingOrder,HasBatted,PlayerID,PlayerName,Status,RunsScored,BallsPlayed,FoursHit,SixesHit,StrikeRate,Position,FullPosition,PlayingOrder,Format,League,GameType,Minutes,DerivedPosition,GuessPosition,MOM,Winner,Over,Maiden,RunsGiven,WKTaken,Econ,Wides,NoBall,DotBalls,FoursGiven,SixesGiven,Catch,Bowled,CaughtBowled,Lbw,Stumped,DirectRunout,IndirectRunout,GameID
11,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,1.0,1.0,3486,Fakhar Zaman,c & b J Holder,11,13,0,0,84.62,BAT,batter,1.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,0,0,0,0,0,0,0,20250118DTVADKR
16,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,2.0,1.0,5503,Alex Hales,c A Russell b D Willey,58,36,3,4,161.11,BAT,batter,2.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,0,0,0,0,0,0,0,20250118DTVADKR
19,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,3.0,1.0,6605,Dan Lawrence,c LJ Evans b J Holder,49,32,1,3,153.13,AR,batting all-rounder,3.0,t20,International League T20,null,null,null,null,0.0,DTV,2.0,0.0,15.0,1.0,7.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
9,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,4.0,1.0,3202,Sam Curran,c J Holder b KR Mayers,35,29,3,1,120.69,AR,batting all-rounder,4.0,t20,International League T20,null,null,null,null,0.0,DTV,1.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
3,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,5.0,1.0,2850,Azam Khan,runout (KR Mayers / JM Clarke),21,9,1,2,233.33,WK,wk-batter,5.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,0,0,0,0,0,0,0,20250118DTVADKR
14,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,6.0,1.0,5481,Sherfane Rutherford,Not out,7,3,1,0,233.33,BAT,batter,6.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,1,0,0,0,0,0,0,20250118DTVADKR
1,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,7.0,0.0,20832,Tanish Suri,null,null,null,null,null,null,null,null,7.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,1,0,0,0,0,0,0,20250118DTVADKR
0,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,8.0,0.0,19140,Dhruv Parashar,null,null,null,null,null,null,null,null,8.0,t20,International League T20,null,null,null,null,0.0,DTV,2.4,0.0,9.0,1.0,3.38,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
6,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,9.0,0.0,2869,Wanindu Hasaranga,null,null,null,null,null,null,null,null,9.0,t20,International League T20,null,null,null,null,0.0,DTV,4.0,0.0,22.0,2.0,5.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
21,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,10.0,0.0,9228,Nathan Sowter,null,null,null,null,null,null,null,null,10.0,t20,International League T20,null,null,null,null,0.0,DTV,4.0,0.0,44.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,20250118DTVADKR
4,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,11.0,0.0,2852,Mohammad Amir,null,null,null,null,null,null,null,null,11.0,t20,International League T20,null,null,null,null,0.0,DTV,2.0,0.0,17.0,1.0,8.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
22,2025,2025-01-18,FINISHED,DTV,7931,ADKR,7927,193,5,20,140,10,17.4,"Dubai International Cricket Stadium, Dubai",1.0,12.0,0.0,9446,Luke Wood,null,null,null,null,null,null,null,null,12.0,t20,International League T20,null,null,null,null,1.0,DTV,2.0,0.0,21.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,20250118DTVADKR
15,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,1.0,1.0,5497,Philip Salt,c NA Sowter b M Amir,2,4,0,0,50,WK,wk-batter,1.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,0,0,0,0,0,0,0,20250118DTVADKR
10,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,2.0,1.0,3480,Kyle Mayers,c L Wood b DW Lawrence,21,20,1,1,105,AR,batting all-rounder,2.0,t20,International League T20,null,null,null,null,0.0,DTV,3.0,0.0,32.0,1.0,10.67,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,20250118DTVADKR
17,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,3.0,1.0,5515,Joe Clarke,runout (NA Sowter),55,32,8,0,171.88,WK,wk-batter,3.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,0,0,0,0,0,0,0,20250118DTVADKR
5,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,4.0,1.0,2867,Charith Asalanka,c L Wood b NA Sowter,5,7,0,0,71.43,AR,batting all-rounder,4.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,0,0,0,0,0,0,0,20250118DTVADKR
13,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,5.0,1.0,5444,Sunil Narine,c L Wood b W Hasaranga,7,6,0,1,116.67,AR,batting all-rounder,5.0,t20,International League T20,null,null,null,null,0.0,DTV,4.0,0.0,32.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
2,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,6.0,1.0,2812,Andre Russell,c (sub DA Payne) b NA Sowter,6,3,0,1,200,AR,batting all-rounder,6.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,1,0,0,0,0,0,0,20250118DTVADKR
7,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,7.0,1.0,3156,Laurie Evans,c T Suri b NA Sowter,1,3,0,0,33.33,WK,wk-batter,7.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,1,0,0,0,0,0,0,20250118DTVADKR
12,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,8.0,1.0,3561,Alishan Sharafu,c SE Rutherford b D Parashar,11,11,0,1,100,BAT,batter,8.0,t20,International League T20,null,null,null,null,0.0,DTV,,,,,,,,,,,0,0,0,0,0,0,0,20250118DTVADKR
23,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,9.0,1.0,9580,David Willey,b W Hasaranga,1,2,0,0,50,AR,batting all-rounder,9.0,t20,International League T20,null,null,null,null,0.0,DTV,4.0,0.0,29.0,1.0,7.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
20,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,10.0,1.0,7543,Jason Holder,runout (W Hasaranga),27,9,3,2,300,AR,batting all-rounder,10.0,t20,International League T20,null,null,null,null,0.0,DTV,4.0,0.0,24.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,20250118DTVADKR
18,2025,2025-01-18,FINISHED,ADKR,7927,DTV,7931,140,10,17.4,193,5,20,"Dubai International Cricket Stadium, Dubai",0.0,11.0,1.0,59750,Shahid Iqbal Bhutta,Not out,3,9,0,0,33.33,BOWL,bowler,11.0,t20,International League T20,null,null,null,null,0.0,DTV,3.0,0.0,46.0,0.0,15.33,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
8,,,,,,,,,,,,,,,,,,3171,,,,,,,,,,,,,,,,,,,2.0,0.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,20250118DTVADKR
